,group,datetime,date,time,cycle_full_gr,status,gr_status
257,2,2023-05-29 21:45:48+07:00,2023-05-29,21:45:00,129,stop,2_stop
258,2,2023-05-30 19:59:38+07:00,2023-05-30,20:00:00,130,start,2_start
259,2,2023-05-30 21:35:26+07:00,2023-05-30,21:35:00,130,stop,2_stop
260,2,2023-05-31 20:00:24+07:00,2023-05-31,20:00:00,131,start,2_start
261,2,2023-05-31 21:51:53+07:00,2023-05-31,21:50:00,131,stop,2_stop
262,2,2023-06-01 20:00:23+07:00,2023-06-01,20:00:00,132,start,2_start
263,2,2023-06-01 21:48:01+07:00,2023-06-01,21:50:00,132,stop,2_stop
264,2,2023-06-02 20:01:21+07:00,2023-06-02,20:00:00,133,start,2_start
265,2,2023-06-02 20:26:59+07:00,2023-06-02,20:25:00,133,stop,2_stop
266,2,2023-06-02 21:18:06+07:00,2023-06-02,21:20:00,134,start,2_start
267,2,2023-06-02 22:19:47+07:00,2023-06-02,22:20:00,134,stop,2_stop
268,2,2023-06-03 19:54:36+07:00,2023-06-03,19:55:00,135,start,2_start
269,2,2023-06-03 21:27:46+07:00,2023-06-03,21:30:00,135,stop,2_stop
270,2,2023-06-04 20:00:41+07:00,2023-06-04,20:00:00,136,start,2_start
271,2,2023-06-04 21:31:33+07:00,2023-06-04,21:30:00,136,stop,2_stop
272,2,2023-06-05 20:26:41+07:00,2023-06-05,20:25:00,137,start,2_start
273,2,2023-06-05 21:49:26+07:00,2023-06-05,21:50:00,137,stop,2_stop
274,2,2023-06-06 20:18:44+07:00,2023-06-06,20:20:00,138,start,2_start
275,2,2023-06-06 21:50:57+07:00,2023-06-06,21:50:00,138,stop,2_stop
276,2,2023-06-07 19:55:32+07:00,2023-06-07,19:55:00,139,start,2_start
277,2,2023-06-07 21:31:31+07:00,2023-06-07,21:30:00,139,stop,2_stop
278,2,2023-06-08 20:52:03+07:00,2023-06-08,20:50:00,140,start,2_start
279,2,2023-06-08 22:28:05+07:00,2023-06-08,22:30:00,140,stop,2_stop
280,2,2023-06-09 19:50:22+07:00,2023-06-09,19:50:00,141,start,2_start
281,2,2023-06-09 21:37:16+07:00,2023-06-09,21:35:00,141,stop,2_stop
282,2,2023-06-10 19:06:46+07:00,2023-06-10,19:05:00,142,start,2_start
283,2,2023-06-10 20:52:54+07:00,2023-06-10,20:55:00,142,stop,2_stop
284,2,2023-06-11 20:04:38+07:00,2023-06-11,20:05:00,143,start,2_start
285,2,2023-06-11 21:37:28+07:00,2023-06-11,21:35:00,143,stop,2_stop
286,2,2023-06-12 19:56:23+07:00,2023-06-12,19:55:00,144,start,2_start
287,2,2023-06-12 21:44:24+07:00,2023-06-12,21:45:00,144,stop,2_stop
288,2,2023-06-13 20:04:35+07:00,2023-06-13,20:05:00,145,start,2_start
289,2,2023-06-13 21:06:48+07:00,2023-06-13,21:05:00,145,stop,2_stop
290,2,2023-06-14 20:09:28+07:00,2023-06-14,20:10:00,146,start,2_start
291,2,2023-06-14 20:56:45+07:00,2023-06-14,20:55:00,146,stop,2_stop
292,2,2023-06-14 21:39:11+07:00,2023-06-14,21:40:00,147,start,2_start
293,2,2023-06-14 22:13:49+07:00,2023-06-14,22:15:00,147,stop,2_stop
294,2,2023-06-15 20:05:02+07:00,2023-06-15,20:05:00,148,start,2_start
295,2,2023-06-15 21:45:38+07:00,2023-06-15,21:45:00,148,stop,2_stop
296,2,2023-06-16 20:05:41+07:00,2023-06-16,20:05:00,149,start,2_start
297,2,2023-06-16 22:06:03+07:00,2023-06-16,22:05:00,149,stop,2_stop
298,2,2023-06-17 19:20:59+07:00,2023-06-17,19:20:00,150,start,2_start
299,2,2023-06-17 21:21:13+07:00,2023-06-17,21:20:00,150,stop,2_stop
300,2,2023-06-18 19:40:14+07:00,2023-06-18,19:40:00,151,start,2_start
301,2,2023-06-18 20:59:08+07:00,2023-06-18,21:00:00,151,stop,2_stop
302,2,2023-06-19 20:13:33+07:00,2023-06-19,20:15:00,152,start,2_start
303,2,2023-06-19 21:51:01+07:00,2023-06-19,21:50:00,152,stop,2_stop
304,2,2023-06-20 20:13:14+07:00,2023-06-20,20:15:00,153,start,2_start
305,2,2023-06-20 22:10:15+07:00,2023-06-20,22:10:00,153,stop,2_stop
306,2,2023-06-21 19:33:53+07:00,2023-06-21,19:35:00,154,start,2_start
307,2,2023-06-21 20:57:58+07:00,2023-06-21,21:00:00,154,stop,2_stop
308,2,2023-06-22 10:28:16+07:00,2023-06-22,10:30:00,155,start,2_start
309,2,2023-06-22 10:36:00+07:00,2023-06-22,10:35:00,155,stop,2_stop
310,2,2023-06-22 19:54:06+07:00,2023-06-22,19:55:00,156,start,2_start
311,2,2023-06-22 21:21:52+07:00,2023-06-22,21:20:00,156,stop,2_stop
312,2,2023-06-23 20:05:51+07:00,2023-06-23,20:05:00,157,start,2_start
313,2,2023-06-23 21:02:04+07:00,2023-06-23,21:00:00,157,stop,2_stop
314,2,2023-06-23 23:57:32+07:00,2023-06-23,00:00:00,158,start,2_start
315,2,2023-06-24 01:18:00+07:00,2023-06-24,01:20:00,158,stop,2_stop
316,2,2023-06-24 20:02:42+07:00,2023-06-24,20:05:00,159,start,2_start
317,2,2023-06-24 22:14:46+07:00,2023-06-24,22:15:00,159,stop,2_stop
318,2,2023-06-25 20:14:14+07:00,2023-06-25,20:15:00,160,start,2_start
319,2,2023-06-25 21:50:05+07:00,2023-06-25,21:50:00,160,stop,2_stop
320,2,2023-06-26 20:10:45+07:00,2023-06-26,20:10:00,161,start,2_start
